,type,genotype,N,mean,sd,se,gene,log2Mean,lineGroup
97,Cother,wt,3,42.75023145,11.53032357,6.657035417,Solyc01g006890,5.417860326,wt.Solyc01g006890
98,Ambr,tf2,4,114.9975567,12.35590619,6.177953097,Solyc01g006900,6.845459399,tf2.Solyc01g006900
99,Ambr,wt,3,99.0955281,21.440703,12.37879565,Solyc01g006900,6.630748049,wt.Solyc01g006900
100,Aother,tf2,4,110.1894813,51.79414533,25.89707267,Solyc01g006900,6.783842701,tf2.Solyc01g006900
101,Aother,wt,5,127.4140687,31.38023005,14.03366551,Solyc01g006900,6.993380774,wt.Solyc01g006900
102,Bmbr,tf2,3,48.8674141,27.73123222,16.01063439,Solyc01g006900,5.610800859,tf2.Solyc01g006900
103,Bmbr,wt,4,107.8057438,27.79961345,13.89980672,Solyc01g006900,6.752290235,wt.Solyc01g006900
104,Bother,tf2,4,131.6584042,26.80436452,13.40218226,Solyc01g006900,7.040655806,tf2.Solyc01g006900
105,Bother,wt,4,125.4377718,42.21881534,21.10940767,Solyc01g006900,6.970828027,wt.Solyc01g006900
106,Cmbr,tf2,4,150.0611099,87.48563069,43.74281534,Solyc01g006900,7.229406323,tf2.Solyc01g006900
107,Cmbr,wt,6,151.3472059,74.27576986,30.32295607,Solyc01g006900,7.24171823,wt.Solyc01g006900
108,Cother,tf2,4,141.1263596,25.73648412,12.86824206,Solyc01g006900,7.14084367,tf2.Solyc01g006900
109,Cother,wt,3,127.5111599,68.57075547,39.58934413,Solyc01g006900,6.994479709,wt.Solyc01g006900
110,Ambr,tf2,4,48.16786114,21.30136215,10.65068108,Solyc01g006940,5.589998958,tf2.Solyc01g006940
111,Ambr,wt,3,112.3132894,108.1075255,62.41590897,Solyc01g006940,6.811384834,wt.Solyc01g006940
112,Aother,tf2,4,45.12717168,42.84851289,21.42425645,Solyc01g006940,5.495924456,tf2.Solyc01g006940
113,Aother,wt,5,42.98128135,14.34162817,6.413771098,Solyc01g006940,5.425636588,wt.Solyc01g006940
114,Bmbr,tf2,3,30.64011233,17.02839235,9.831346907,Solyc01g006940,4.937349681,tf2.Solyc01g006940
115,Bmbr,wt,4,28.52924228,11.60702814,5.803514072,Solyc01g006940,4.834369525,wt.Solyc01g006940
116,Bother,tf2,4,53.05111482,2.918721834,1.459360917,Solyc01g006940,5.729311163,tf2.Solyc01g006940
117,Bother,wt,4,36.28903591,17.82565781,8.912828906,Solyc01g006940,5.181461824,wt.Solyc01g006940
118,Cmbr,tf2,4,49.41405584,14.21217672,7.106088359,Solyc01g006940,5.62684957,tf2.Solyc01g006940
