"genotype" "gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "ssom$unit.classif" "ssom$distances"
"1811" "tf2" "Solyc03g058853" -0.411351414586029 -0.402998001010807 2.04085011906188 -0.409352656540533 -0.377928030972142 -0.439220015952371 1.89587955562901 -0.33009262755692 -0.236738519842573 0.11139347793227 -0.107540243986253 -2.22044604925031e-16 7 0.209624946362734
"1812" "tf2" "Solyc03g058860" -0.415317975761613 -0.393419346774253 2.04081118741632 -0.410590707680701 -0.380576400876234 -0.440906756323521 1.89691411871248 -0.33235538835351 -0.232137955424384 0.117008593151744 -0.0997947712453399 -2.77555756156289e-16 8 0.0563933664799779
"1813" "tf2" "Solyc03g058900" 0.00953915061023558 -1.02558870628565 1.89188435526647 -0.439286184562056 -0.0175372931723974 -0.419011321856604 1.76706165199725 0.0805309774478054 -0.514434196785843 -0.412872469229261 -0.532945080146361 2.22044604925031e-16 8 0.853914513953914
"1814" "tf2" "Solyc03g058913" -0.331814119736934 -0.388472654917111 2.03817615311585 -0.427620496446776 -0.391853463768001 -0.498415418247029 1.92405528907443 -0.236231843075755 -0.239927909487196 0.142399286638593 -0.106649652774132 -1.66533453693773e-16 8 0.0903729677683566
"1815" "tf2" "Solyc03g058917" 0.483116847069148 0.132143007590577 -1.58668878526806 0.713153331124979 1.04827169096443 -0.789996091481078 -1.0901406567074 1.63701841788394 1.82016602748706 -0.69152773322765 -0.142407209009982 1.72084568816899e-15 2 2.39747837922045
"1816" "tf2" "Solyc03g058935" 1.1567492685606 -1.53954291152199 -0.0642861153915415 0.824874046096962 0.328705307235202 -0.706499594979235 0.0750850830330543 1.51938504678054 0.358738779698674 -0.586905980572064 -1.75018497913495 2.38697950294409e-15 2 5.13237555991255
"1817" "tf2" "Solyc03g058953" -0.407022167974342 -0.396970926743497 2.03876435987028 -0.399325811655724 -0.341102669707418 -0.494342783789303 1.92325465057836 -0.29684868951743 -0.190576445559789 0.0875600370057803 -0.108568605855673 -5.55111512312578e-17 8 0.0630151961741597
"1818" "tf2" "Solyc03g058957" -0.440188372670851 -0.389083795869138 2.03723206301361 -0.398227389682307 -0.309695092804654 -0.500037411986656 1.92734075917136 -0.315918645039359 -0.163704647829945 0.0587502873462377 -0.0926887937227637 -1.11022302462516e-16 8 0.0376994418040219
"1819" "tf2" "Solyc03g058970" -0.448935585521208 -0.399226679778832 2.03492665131226 -0.261794306845916 -0.432258071399131 -0.492712007767171 1.89709653060493 -0.367754057285641 -0.125205847564533 0.184081580107009 -0.207066782075662 5.55111512312578e-17 8 0.0785235002711246
"1820" "tf2" "Solyc03g059035" -0.402619787394163 -0.339703373821768 2.03937893799065 -0.406158684748831 -0.416998762130473 -0.473898329895416 1.91033407085373 -0.310796763527474 -0.204923908775081 0.176249144538146 -0.075536586103852 -2.77555756156289e-16 7 0.0812145463511108
"1821" "tf2" "Solyc03g059070" -0.477027377950054 -0.193062589076402 1.98647506302589 -0.431787516553984 -0.767407727718336 -0.117189851727114 1.66820913347977 -0.561029794847838 -0.40609720878252 0.503852765400159 0.0316415998793488 -4.71844785465692e-16 8 1.00321488711768
"1822" "tf2" "Solyc03g059190" 1.04467667377315 0.0234456949831558 1.35883068248118 -0.568128571824736 -1.00456483864049 -0.854259640772261 1.48625020393081 1.18543622806586 -0.42229874246073 1.03625269924041 -0.0551684144144581 1.83186799063151e-15 4 2.34726885180604
"1823" "tf2" "Solyc03g059200" -0.362578466850501 -0.433936053064682 2.040577390175 -0.416435430650774 -0.400062090166759 -0.42756534944228 1.88789765650555 -0.299013247833332 -0.281449186743688 0.12330468707927 -0.136547005233063 -3.33066907387547e-16 4 1.78454923427502
"1824" "tf2" "Solyc03g059235" -0.375063445145234 -0.43307078621634 2.04072312867927 -0.406641107879003 -0.393297103074671 -0.432650686364018 1.89004382037079 -0.307499838550591 -0.266939046946165 0.11788266594874 -0.13930895355797 -2.77555756156289e-16 8 0.0325630125390531
"1825" "tf2" "Solyc03g059260" -0.602126176931708 0.20053633596395 -1.17572658571724 1.3546399062321 0.934458709708916 -0.711782189256017 -0.845201494409716 0.47877072308161 2.39195959090049 -0.606338274468365 -0.357250860132419 1.16573417585641e-15 2 2.83548377239017
"1826" "tf2" "Solyc03g059270" -0.673056218764418 -0.610124139486104 -0.703182823094989 0.756810277590577 -0.469570312370534 1.69912321612547 -1.69396099759105 -0.950892450380939 -0.0148663621018844 0.0300471414867682 -0.611287607126637 -6.66133814775094e-16 3 0.778126126265645
"1827" "tf2" "Solyc03g059275" -0.422636465975838 -0.443490989917046 2.03801900428426 -0.428098310445495 -0.296762259813053 -0.44703097813283 1.9043426314426 -0.321052981111955 -0.232390494274411 0.0186480242802361 -0.10871475032284 -3.88578058618805e-16 8 0.0383176598706255
"1828" "tf2" "Solyc03g059316" -0.415451720307493 -0.400276262940897 2.04003671834534 -0.393501290416861 -0.363129452403929 -0.467677992276164 1.90875343804463 -0.320617441855611 -0.20617759028523 0.103538199633912 -0.114875796647719 -2.77555756156289e-16 8 0.0959348157458565
"1829" "tf2" "Solyc03g059395" -0.390294068083937 -0.404999852739174 2.03987953607102 -0.412718310995808 -0.360259924725463 -0.47160737952664 1.9126840252069 -0.294829597271238 -0.22436478132046 0.0997649858229165 -0.110107241155642 -1.11022302462516e-16 8 0.0594807311563768
"1830" "tf2" "Solyc03g059490" -0.335394726145664 -0.410152019182379 -0.567024073944227 -0.261067776173593 2.03008994406413 -0.456451348618272 -0.199772718498607 0.821725848530258 1.16377032611808 -2.06033959324507 0.37346961219064 3.33066907387547e-16 1 2.66936252822669
"1831" "tf2" "Solyc03g059505" -0.379980763885069 -0.423468853011201 2.03997038658341 -0.434667295619497 -0.354079022836293 -0.447774451231354 1.90325164834713 -0.293360015715476 -0.258291057426651 0.0827844581264713 -0.107874198565861 -1.66533453693773e-16 8 0.0729068859023293
"1832" "tf2" "Solyc03g060513" -0.420394990289159 -0.338399826538401 2.03753225769172 -0.364943379974866 -0.399789916358544 -0.51400414453075 1.92547217990917 -0.310847311795976 -0.149073536523155 0.168775119745441 -0.0983422731445608 -2.77555756156289e-16 7 0.192420994076386
"1833" "tf2" "Solyc03g060517" -0.414981619185475 -0.392383937553638 2.03983377172621 -0.407320553382286 -0.355307260799685 -0.469840400805122 1.91199813558284 -0.31536090122432 -0.207618883038928 0.0977565490667649 -0.0992002866446816 -2.22044604925031e-16 8 0.0255319358791044
"1834" "tf2" "Solyc03g061595" -0.450068399407463 -0.330565009083814 2.03878566725259 -0.427859445756789 -0.37177919168013 -0.458513621324392 1.90842418300163 -0.345313646761996 -0.19307239944492 0.128317349941235 -0.0373963685693654 -1.11022302462516e-16 4 0.917355735684505
"1835" "tf2" "Solyc03g061655" -0.432412727477004 -0.201646684325665 2.02851310927955 -0.449459336816571 -0.40552126299454 -0.539473097665769 1.9432268609837 -0.287659330569939 -0.124092010779371 0.215660501212463 0.0535670057754095 -2.22044604925031e-16 8 0.235367267328928
"1836" "tf2" "Solyc03g062660" -0.351796756968774 -0.445559366283507 2.03611123331819 -0.29671414771032 -0.481195588778507 -0.460845373577085 1.88079042633561 -0.306882622098322 -0.226191056026422 0.214298321060191 -0.240705256082905 -2.77555756156289e-16 8 0.0462605894844733
"1837" "tf2" "Solyc03g062837" -0.450379786397053 -0.411817282007555 2.0314568780455 -0.400615298890066 -0.234576275082069 -0.534068235668756 1.94450696376908 -0.296237412059415 -0.13064080789893 -0.0166162452793517 -0.094991759457736 -1.66533453693773e-16 8 0.077724412303727
"1838" "tf2" "Solyc03g062970" -0.432372335639439 -0.358912370342908 2.04040356463531 -0.401444319284132 -0.440507053418526 -0.407167485950302 1.87534996609764 -0.370679504380306 -0.241688154768323 0.180794356301267 -0.0855875113243287 -2.22044604925031e-16 8 0.74570241158972
"1839" "tf2" "Solyc03g063040" -0.367147267724406 1.00567551925307 -1.5454168616577 1.09639539760165 0.255580074797924 -0.445086862270538 -1.29910572165906 0.626855926687576 2.25675683926135 0.285573207834437 0.272894968720492 1.11022302462516e-16 2 4.31044630467814
"1840" "tf2" "Solyc03g063090" -0.302363069901165 -0.549236150049725 -0.658329683902127 -0.159266638022986 2.00827692476057 -0.339081382884565 -0.35455889709733 0.795319705714562 1.1106633673645 -2.08746024654964 0.214802463063693 3.88578058618805e-16 2 1.82666036102444
"1841" "tf2" "Solyc03g063140" -0.419091530570434 -0.872611119503468 -0.97496793145682 0.646476650930444 -0.0211380824386509 1.64133201303893 -1.86427223513188 -0.56448299403924 -0.0420135533789299 -0.459832449736447 -0.680801996636792 -3.33066907387547e-16 3 1.86381584785214
"1842" "tf2" "Solyc03g063150" 0.622648285385346 -1.20591608807194 0.223253317894188 -0.972380437214751 1.46465585957924 -0.132260937572089 0.336326282437623 1.2319717933118 -0.40176844833991 -1.86808610897004 -0.0300512906597282 8.88178419700125e-16 5 3.65793176760314
"1843" "tf2" "Solyc03g063160" 0.0306509817148188 -0.834616079299187 -0.0336764005483027 -0.879232232142574 1.87196175300379 -0.155088022728543 0.15744567395785 0.89465919822931 0.186434741293875 -2.15204103170634 0.366233568623485 2.77555756156289e-16 5 4.38409708504888
"1844" "tf2" "Solyc03g063166" -0.380776085770547 -0.415797082363136 2.04021558362428 -0.392498128561402 -0.38455597817653 -0.46658830875267 1.9060671562917 -0.296990440442681 -0.229892739747211 0.121250762375734 -0.136393759170444 -1.11022302462516e-16 8 0.0301572203120368
"1845" "tf2" "Solyc03g063190" -0.464088438562545 0.209167866732411 1.93665980462621 -0.397039415207159 -0.581718159768772 -0.702981657820143 1.9375121214871 -0.232401860582173 0.140013393533693 0.553757434486988 0.280701266409417 -4.9960036108132e-16 8 0.264617046957577
"1846" "tf2" "Solyc03g063240" 0.708493944473161 -0.436885852787269 -1.74397128716355 0.947925930960982 -0.076640069144777 0.601077333661452 -2.04568296445021 1.00136770961157 0.651958201966638 0.0362408176004495 -0.808355306978574 1.08246744900953e-15 1 2.04275315280636
"1847" "tf2" "Solyc03g063260" -0.122353288829252 -1.20954189635299 -0.303790002450578 -0.0933943310470398 1.84590850146995 -0.116828982790092 -0.195888909202167 0.678061095517142 0.572422743486833 -2.18373788990472 -0.365116738322241 9.71445146547012e-16 2 1.0538243769231
"1848" "tf2" "Solyc03g063305" -0.411125575140227 -0.387773130200288 2.04081391178992 -0.405983026873684 -0.390829252551467 -0.445102927024254 1.89786701049191 -0.329152503925294 -0.229334512625815 0.13008820534085 -0.101615076848753 -3.88578058618805e-16 8 0.334734050427729
"1849" "tf2" "Solyc03g063340" -0.331432573995787 -0.701157590051767 2.01566225786671 -0.338686411007853 -0.240610962561367 -0.403774720249936 1.84991016060273 -0.276941639862444 -0.316464289312619 -0.112391720351654 -0.351778710308515 5.55111512312578e-17 6 1.31785954024212
"1850" "tf2" "Solyc03g063380" -0.419190684521936 -0.405359710688661 2.04119696983166 -0.409703420266081 -0.398884336582626 -0.408058817772361 1.87913074391969 -0.353913258173056 -0.257453665118049 0.125505333913867 -0.108660656221988 -2.22044604925031e-16 8 0.122893404944906
"1851" "tf2" "Solyc03g063390" -1.10600805327268 -0.103942885742374 1.25101273173757 0.855994714067505 -1.17853752351813 0.2814810167281 0.661771693551312 -1.32063656294872 0.430265193012949 0.978939071437667 -0.613094988266147 -1.56125112837913e-16 4 2.5726462219835
"1852" "tf2" "Solyc03g063640" 0.586919896769698 -1.24433684967026 -0.869085081509339 -0.0857031305853322 1.52890760005618 0.0832975649390569 -0.815278149787172 1.27442699398373 0.279427045398803 -1.84421849890734 -0.520106466995178 9.57567358739198e-16 2 1.83268332184481
"1853" "tf2" "Solyc03g063730" -0.439445883677619 -0.372851707203666 2.04044179944877 -0.385617082990552 -0.400773693880287 -0.441753431696649 1.89341241095967 -0.357961816440885 -0.20690241345508 0.144070288398361 -0.100523176858774 -5.55111512312578e-17 8 0.137698072144589
"1854" "tf2" "Solyc03g063805" 0.384442126838159 -0.487762801328697 1.65629907211241 -0.823122655889953 0.315913327932572 -1.04576906966449 1.95523573232271 0.873614948784063 -0.160402520090947 -0.458182327361141 0.0543123742089731 1.11022302462516e-15 4 1.21366782076519
