"ITAG","cluster"
"Solyc01g079400",2
"Solyc01g079740",2
"Solyc01g079830",1
"Solyc01g079880",1
"Solyc01g079900",3
"Solyc01g079910",3
"Solyc01g079920",3
"Solyc01g079925",3
"Solyc01g079930",3
"Solyc01g079940",3
"Solyc01g079950",1
"Solyc01g079960",5
"Solyc01g079970",3
"Solyc01g079980",5
"Solyc01g079990",3
"Solyc01g080000",3
"Solyc01g080010",3
"Solyc01g080030",6
"Solyc01g080050",6
"Solyc01g080055",3
"Solyc01g080100",3
"Solyc01g080170",6
"Solyc01g080460",3
"Solyc01g080550",6
"Solyc01g080770",1
"Solyc01g080870",3
"Solyc01g080930",2
"Solyc01g081010",5
"Solyc01g081130",6
"Solyc01g081200",5
"Solyc01g081220",4
"Solyc01g081250",5
"Solyc01g081540",2
"Solyc01g081560",5
"Solyc01g081570",1
"Solyc01g081630",5
"Solyc01g081640",5
"Solyc01g073640",4
"Solyc01g073670",3
"Solyc01g073680",1
"Solyc01g073695",1
"Solyc01g073700",1
"Solyc01g073725",6
"Solyc01g073740",4
"Solyc01g086700",5
"Solyc01g086920",2
"Solyc01g086950",2
"Solyc01g086953",5
"Solyc01g087030",2
"Solyc01g087050",5
"Solyc01g087360",6
"Solyc01g087410",2
"Solyc01g088010",2
"Solyc01g088050",1
"Solyc01g088140",4
"Solyc01g088660",1
"Solyc01g088810",5
"Solyc01g089903",5
"Solyc01g089980",1
"Solyc01g090300",3
"Solyc01g090380",4
"Solyc01g090425",3
"Solyc01g090460",4
"Solyc01g090465",4
"Solyc01g090480",3
"Solyc01g090530",3
"Solyc01g090590",4
"Solyc01g090600",5
"Solyc01g090610",5
"Solyc01g090630",4
"Solyc01g090660",5
"Solyc01g090680",5
"Solyc01g090690",5
"Solyc01g090700",3
"Solyc01g090710",3
"Solyc01g090740",4
"Solyc01g090760",5
"Solyc01g090770",5
"Solyc01g090795",6
"Solyc01g090800",1
"Solyc01g090900",2
"Solyc01g090970",1
"Solyc01g091000",5
"Solyc01g091130",4
"Solyc01g091170",4
"Solyc01g091165",4
"Solyc01g091650",5
"Solyc01g091700",2
"Solyc01g091705",3
"Solyc01g091770",4
"Solyc01g091800",3
"Solyc01g093975",3
"Solyc01g094040",2
"Solyc01g094170",6
"Solyc01g094180",4
"Solyc01g094725",3
"Solyc01g094890",1
"Solyc01g095070",1
"Solyc01g095140",3
"Solyc01g095150",3
"Solyc01g095160",5
"Solyc01g095370",4
"Solyc01g095440",2
"Solyc01g095530",1
"Solyc01g095680",4
"Solyc01g095700",2
"Solyc01g096060",5
"Solyc01g096090",2
"Solyc01g096120",1
"Solyc01g096130",1
"Solyc01g096150",1
"Solyc01g096160",1
"Solyc01g096175",3
"Solyc01g096180",1
"Solyc01g096185",1
"Solyc01g096193",2
"Solyc01g096197",6
"Solyc01g096200",1
"Solyc01g096210",3
"Solyc01g096220",2
"Solyc01g096250",3
"Solyc01g096255",3
"Solyc01g096260",1
"Solyc01g096280",2
"Solyc01g096300",5
"Solyc01g096320",4
"Solyc01g096330",5
"Solyc01g096340",2
"Solyc01g096400",4
"Solyc01g096410",4
"Solyc01g096420",5
"Solyc01g096430",4
"Solyc01g096435",5
"Solyc01g096440",4
"Solyc01g096450",2
"Solyc01g096510",2
"Solyc01g096520",5
"Solyc01g096620",2
"Solyc01g096630",2
"Solyc01g096650",2
"Solyc01g096670",3
"Solyc01g096690",2
"Solyc01g096720",2
"Solyc01g096930",3
"Solyc01g096980",1
"Solyc01g097070",3
"Solyc01g097095",3
"Solyc01g097170",2
"Solyc01g097230",4
"Solyc01g097290",1
"Solyc01g097330",2
"Solyc01g097340",1
"Solyc01g097700",6
"Solyc01g097710",3
"Solyc01g097880",5
"Solyc01g098190",3
"Solyc01g098410",3
"Solyc01g098450",5
"Solyc01g098500",1
"Solyc01g098520",1
"Solyc01g098560",1
"Solyc01g099000",4
"Solyc01g100105",3
"Solyc07g021730",6
"Solyc01g100880",3
"Solyc01g100930",2
"Solyc01g101080",3
"Solyc01g101170",3
"Solyc01g102285",3
"Solyc01g102310",1
"Solyc01g102340",2
"Solyc01g103450",4
"Solyc01g103530",1
"Solyc01g103780",1
"Solyc01g103868",2
"Solyc01g103970",2
"Solyc01g104400",5
"Solyc01g104433",6
"Solyc01g104437",6
"Solyc01g104438",4
"Solyc01g104610",4
"Solyc01g104680",5
"Solyc01g104930",4
"Solyc01g104950",1
"Solyc01g105165",4
"Solyc01g105350",6
"Solyc01g105360",1
"Solyc01g105493",2
"Solyc01g105540",1
"Solyc01g105605",6
"Solyc01g105720",1
"Solyc01g105730",3
"Solyc01g105740",6
"Solyc01g105823",3
"Solyc01g105893",3
"Solyc01g105910",3
"Solyc01g105920",3
"Solyc01g105930",3
"Solyc01g106070",6
"Solyc01g106105",6
"Solyc01g106130",6
"Solyc01g106140",6
"Solyc01g106150",6
"Solyc01g106170",6
"Solyc01g106215",3
"Solyc01g106310",6
"Solyc01g106460",4
"Solyc01g106490",6
"Solyc01g106690",1
"Solyc01g106730",3
"Solyc01g106910",2
"Solyc01g107220",3
"Solyc01g107415",4
"Solyc01g107430",4
"Solyc01g107640",4
"Solyc01g107650",1
"Solyc01g107670",1
"Solyc01g107710",6
"Solyc01g107740",4
"Solyc01g107890",2
"Solyc01g107933",4
"Solyc01g107970",4
"Solyc01g108010",4
"Solyc01g108090",4
"Solyc01g108510",3
"Solyc01g108530",3
"Solyc01g108620",1
"Solyc01g108630",1
"Solyc01g108640",5
"Solyc01g108790",6
"Solyc01g108810",6
"Solyc01g108820",6
"Solyc01g108830",6
"Solyc01g108860",3
"Solyc01g108870",3
"Solyc01g108880",6
"Solyc01g108935",6
"Solyc01g108950",6
"Solyc01g108973",6
"Solyc01g108977",3
"Solyc01g109010",3
"Solyc01g109020",6
"Solyc01g109030",3
"Solyc01g109170",5
"Solyc01g109180",5
"Solyc01g109500",1
"Solyc01g109610",4
"Solyc01g110070",6
"Solyc01g110200",4
"Solyc01g110380",5
"Solyc01g110470",4
"Solyc01g111040",5
"Solyc01g111660",1
"Solyc01g111970",3
"Solyc02g060570",6
"Solyc02g077525",3
"Solyc02g080260",4
"Solyc02g005350",3
"Solyc02g014775",6
"Solyc02g021160",3
"Solyc02g024075",3
"Solyc02g030464",2
"Solyc02g036393",4
"Solyc02g036397",6
"Solyc00g007160",6
"Solyc02g063540",3
"Solyc02g064900",6
"Solyc02g065090",3
"Solyc02g065225",6
"Solyc02g069060",3
"Solyc02g071360",3
"Solyc02g072190",2
"Solyc02g076780",2
"Solyc02g079460",4
"Solyc02g079630",4
"Solyc02g080990",2
"Solyc02g086500",3
"Solyc02g088560",1
"Solyc02g091410",3
"Solyc02g094751",3
"Solyc02g043945",6
"Solyc02g043860",4
"Solyc02g043862",4
"Solyc02g043815",3
"Solyc02g055530",3
"Solyc02g055460",3
"Solyc02g049090",3
"Solyc02g049100",3
"Solyc02g050180",3
"Solyc02g050280",4
"Solyc02g050283",5
"Solyc02g005185",3
"Solyc02g005310",4
"Solyc02g005315",6
"Solyc02g014077",2
"Solyc02g014250",3
"Solyc02g014350",4
"Solyc02g020980",3
"Solyc02g021010",3
"Solyc02g021050",6
"Solyc02g021230",3
"Solyc02g021340",2
"Solyc02g021480",3
"Solyc02g021560",3
"Solyc02g021603",3
"Solyc02g021630",3
"Solyc02g022830",6
"Solyc02g022835",3
"Solyc02g022936",3
"Solyc02g027080",2
"Solyc02g030090",3
"Solyc02g030185",6
"Solyc02g030355",6
"Solyc02g030360",6
"Solyc02g030365",3
"Solyc02g030450",3
"Solyc02g031985",3
"Solyc02g032303",3
"Solyc02g032307",3
"Solyc02g032380",3
"Solyc02g032983",4
"Solyc02g036165",6
"Solyc02g036235",3
"Solyc02g036270",2
"Solyc02g037550",3
"Solyc02g038703",3
"Solyc00g007300",1
"Solyc00g007200",2
"Solyc02g062000",1
"Solyc02g062040",5
"Solyc02g062330",3
"Solyc02g062463",2
"Solyc02g062700",5
"Solyc02g062750",6
"Solyc02g062815",3
"Solyc02g062930",3
"Solyc02g063360",3
"Solyc02g063450",1
"Solyc02g063542",1
