"ITAG","cluster"
"Solyc01g066820",11
"Solyc01g066860",27
"Solyc01g066865",27
"Solyc01g066913",11
"Solyc01g066917",18
"Solyc01g066940",2
"Solyc01g067045",11
"Solyc01g067120",16
"Solyc01g067130",11
"Solyc01g067140",11
"Solyc01g067143",11
"Solyc01g067147",11
"Solyc01g067170",11
"Solyc01g067190",11
"Solyc01g067255",11
"Solyc01g067275",11
"Solyc01g067277",11
"Solyc01g067295",1
"Solyc01g067404",11
"Solyc01g067870",11
"Solyc01g068030",16
"Solyc01g068140",2
"Solyc01g068155",2
"Solyc01g068250",16
"Solyc01g068360",32
"Solyc01g068490",13
"Solyc01g068567",11
"Solyc01g068580",14
"Solyc01g079370",11
"Solyc01g079375",11
"Solyc01g079400",10
"Solyc01g079740",21
"Solyc01g079830",21
"Solyc01g079880",25
"Solyc01g079900",18
"Solyc01g079910",18
"Solyc01g079920",18
"Solyc01g079925",18
"Solyc01g079930",16
"Solyc01g079940",16
"Solyc01g079950",21
"Solyc01g079960",3
"Solyc01g079970",18
"Solyc01g079980",3
"Solyc01g079990",18
"Solyc01g080000",16
"Solyc01g080010",16
"Solyc01g080030",16
"Solyc01g080050",22
"Solyc01g080055",16
"Solyc01g080100",16
"Solyc01g080170",19
"Solyc01g080460",10
"Solyc01g080550",2
"Solyc01g080770",25
"Solyc01g080870",3
"Solyc01g080930",2
"Solyc01g081010",11
"Solyc01g081130",11
"Solyc01g081200",11
"Solyc01g081220",18
"Solyc01g081250",12
"Solyc01g081540",2
"Solyc01g081560",2
"Solyc01g081570",25
"Solyc01g081630",7
"Solyc01g081640",7
"Solyc01g073640",7
"Solyc01g073670",33
"Solyc01g073680",33
"Solyc01g073695",34
"Solyc01g073700",34
"Solyc01g073725",11
"Solyc01g073740",2
"Solyc01g086700",11
"Solyc01g086920",13
"Solyc01g086950",11
"Solyc01g086953",11
"Solyc01g087030",11
"Solyc01g087050",2
"Solyc01g087360",11
"Solyc01g087410",3
"Solyc01g088010",18
"Solyc01g088050",11
"Solyc01g088140",34
"Solyc01g088660",25
"Solyc01g088810",2
"Solyc01g089903",2
"Solyc01g089980",26
"Solyc01g090300",11
"Solyc01g090380",8
"Solyc01g090425",11
"Solyc01g090460",2
"Solyc01g090465",10
"Solyc01g090480",11
"Solyc01g090530",11
"Solyc01g090590",11
"Solyc01g090600",11
"Solyc01g090610",11
"Solyc01g090630",11
"Solyc01g090660",11
"Solyc01g090680",12
"Solyc01g090690",12
"Solyc01g090700",12
"Solyc01g090710",18
"Solyc01g090740",12
"Solyc01g090760",11
"Solyc01g090770",11
"Solyc01g090795",11
