"ITAG","cluster"
"Solyc01g107000",10
"Solyc01g107340",4
"Solyc01g107810",35
"Solyc01g108610",22
"Solyc01g108780",22
"Solyc01g108930",36
"Solyc01g108975",35
"Solyc01g109210",9
"Solyc01g109200",21
"Solyc01g109460",20
"Solyc01g109570",20
"Solyc01g109600",28
"Solyc01g109860",8
"Solyc01g109960",11
"Solyc01g109970",2
"Solyc01g111145",28
"Solyc01g111610",4
"Solyc01g111840",20
"Solyc01g112270",25
"Solyc01g005000",20
"Solyc01g005010",27
"Solyc01g005060",26
"Solyc01g005080",34
"Solyc01g005100",32
"Solyc01g005120",7
"Solyc01g005240",5
"Solyc01g005280",10
"Solyc01g005400",34
"Solyc01g005570",14
"Solyc01g005790",23
"Solyc01g005850",35
"Solyc01g005860",35
"Solyc01g005880",35
"Solyc01g005970",5
"Solyc01g006080",1
"Solyc01g006150",12
"Solyc01g006200",1
"Solyc01g006390",12
"Solyc01g006400",5
"Solyc01g006410",1
"Solyc01g006420",1
"Solyc01g006530",1
"Solyc01g006545",1
"Solyc01g006565",1
"Solyc01g006570",1
"Solyc01g006575",1
"Solyc01g006580",1
"Solyc01g006590",1
"Solyc01g006600",1
"Solyc01g006620",1
"Solyc01g006640",1
"Solyc01g006720",7
"Solyc01g006730",12
"Solyc01g006830",5
"Solyc01g006840",34
"Solyc01g007080",1
"Solyc01g007130",31
"Solyc01g007260",7
"Solyc01g007760",3
"Solyc01g007870",11
"Solyc01g007920",12
"Solyc01g008350",10
"Solyc01g008497",30
"Solyc01g008500",34
"Solyc01g008510",31
"Solyc01g008530",9
"Solyc01g008540",30
"Solyc01g008580",36
"Solyc01g008590",36
"Solyc01g008610",36
"Solyc01g008620",29
"Solyc01g008640",36
"Solyc01g008650",29
"Solyc01g008710",35
"Solyc01g008720",36
"Solyc01g008740",36
"Solyc01g008790",35
"Solyc01g008830",29
"Solyc01g008870",29
"Solyc01g008973",30
"Solyc01g009210",12
"Solyc01g009245",26
"Solyc01g009307",36
"Solyc01g009370",23
"Solyc01g009390",35
"Solyc01g009500",26
"Solyc01g009860",7
"Solyc01g009900",15
"Solyc01g009970",6
"Solyc01g010035",28
"Solyc01g010055",31
"Solyc01g010080",35
"Solyc01g010130",31
"Solyc01g010135",31
"Solyc01g010150",33
"Solyc01g010180",14
"Solyc01g010200",19
