"ITAG","cluster"
"Solyc01g101080",5
"Solyc01g101170",5
"Solyc01g102285",2
"Solyc01g102310",1
"Solyc01g102340",1
"Solyc01g103450",3
"Solyc01g103530",1
"Solyc01g103780",1
"Solyc01g103868",5
"Solyc01g103970",5
"Solyc01g104400",2
"Solyc01g104433",5
"Solyc01g104437",2
"Solyc01g104438",2
"Solyc01g104610",5
"Solyc01g104680",6
"Solyc01g104930",2
"Solyc01g104950",6
"Solyc01g105165",5
"Solyc01g105350",5
"Solyc01g105360",4
"Solyc01g105493",5
"Solyc01g105540",5
"Solyc01g105605",5
"Solyc01g105720",1
"Solyc01g105730",5
"Solyc01g105740",5
"Solyc01g105823",5
"Solyc01g105893",5
"Solyc01g105910",5
"Solyc01g105920",5
"Solyc01g105930",5
"Solyc01g106070",5
"Solyc01g106105",5
"Solyc01g106130",5
"Solyc01g106140",5
"Solyc01g106150",5
"Solyc01g106170",5
"Solyc01g106215",5
"Solyc01g106310",5
"Solyc01g106460",5
"Solyc01g106490",5
"Solyc01g106690",1
"Solyc01g106730",5
"Solyc01g106910",1
"Solyc01g107220",5
"Solyc01g107415",1
"Solyc01g107430",1
"Solyc01g107640",5
"Solyc01g107650",1
"Solyc01g107670",1
"Solyc01g107710",5
"Solyc01g107740",5
"Solyc01g107890",2
"Solyc01g107933",5
"Solyc01g107970",5
"Solyc01g108010",5
"Solyc01g108090",6
"Solyc01g108510",5
"Solyc01g108530",5
"Solyc01g108620",2
"Solyc01g108630",1
"Solyc01g108640",5
"Solyc01g108790",5
"Solyc01g108810",5
"Solyc01g108820",5
"Solyc01g108830",5
"Solyc01g108860",5
"Solyc01g108870",5
"Solyc01g108880",5
"Solyc01g108935",5
"Solyc01g108950",5
"Solyc01g108973",5
"Solyc01g108977",5
"Solyc01g109010",4
"Solyc01g109020",5
"Solyc01g109030",5
"Solyc01g109170",2
"Solyc01g109180",2
"Solyc01g109500",1
"Solyc01g109610",3
"Solyc01g110070",5
"Solyc01g110200",5
"Solyc01g110380",5
"Solyc01g110470",6
"Solyc01g111040",2
"Solyc01g111660",1
"Solyc01g111970",6
"Solyc02g060570",5
"Solyc02g077525",5
"Solyc02g080260",5
"Solyc02g005350",5
"Solyc02g014775",5
"Solyc02g021160",5
"Solyc02g024075",5
"Solyc02g030464",2
"Solyc02g036393",5
"Solyc02g036397",5
"Solyc00g007160",5
"Solyc02g063540",2
"Solyc02g064900",5
"Solyc02g065090",5
"Solyc02g065225",5
"Solyc02g069060",5
"Solyc02g071360",5
"Solyc02g072190",4
"Solyc02g076780",5
"Solyc02g079460",6
"Solyc02g079630",6
"Solyc02g080990",5
"Solyc02g086500",2
"Solyc02g088560",1
"Solyc02g091410",5
"Solyc02g094751",5
"Solyc02g043945",5
"Solyc02g043860",5
"Solyc02g043862",5
"Solyc02g043815",5
"Solyc02g055530",5
"Solyc02g055460",5
"Solyc02g049090",5
"Solyc02g049100",5
"Solyc02g050180",5
"Solyc02g050280",5
"Solyc02g050283",5
"Solyc02g005185",5
"Solyc02g005310",5
"Solyc02g005315",5
"Solyc02g014077",5
"Solyc02g014250",5
"Solyc02g014350",2
"Solyc02g020980",5
"Solyc02g021010",5
"Solyc02g021050",5
"Solyc02g021230",2
"Solyc02g021340",2
"Solyc02g021480",5
"Solyc02g021560",5
"Solyc02g021603",5
"Solyc02g021630",5
"Solyc02g022830",5
"Solyc02g022835",5
"Solyc02g022936",5
"Solyc02g027080",5
"Solyc02g030090",5
"Solyc02g030185",5
"Solyc02g030355",5
"Solyc02g030360",5
"Solyc02g030365",5
"Solyc02g030450",2
"Solyc02g031985",5
"Solyc02g032303",5
"Solyc02g032307",5
"Solyc02g032380",5
"Solyc02g032983",5
"Solyc02g036165",5
"Solyc02g036235",5
"Solyc02g036270",2
"Solyc02g037550",1
"Solyc02g038703",5
"Solyc00g007300",2
"Solyc00g007200",2
"Solyc02g062000",2
"Solyc02g062040",2
"Solyc02g062330",1
"Solyc02g062463",1
"Solyc02g062700",3
"Solyc02g062750",5
"Solyc02g062815",5
"Solyc02g062930",5
"Solyc02g063360",5
"Solyc02g063450",2
"Solyc02g063542",2
"Solyc02g063546",2
"Solyc02g064690",5
"Solyc02g064800",4
"Solyc02g064802",4
"Solyc02g065020",5
"Solyc02g065060",5
"Solyc02g065480",2
"Solyc02g065500",5
"Solyc02g065610",5
"Solyc02g067120",5
"Solyc02g067800",5
"Solyc02g068040",2
"Solyc02g068610",5
"Solyc02g070460",5
"Solyc02g071365",5
"Solyc02g071610",1
"Solyc02g071700",1
"Solyc02g071730",1
"Solyc02g071980",2
"Solyc02g072000",5
"Solyc02g072160",2
"Solyc02g072470",5
"Solyc02g076690",1
"Solyc02g077010",5
"Solyc02g077230",5
"Solyc02g077270",5
"Solyc02g077900",5
"Solyc02g078150",1
"Solyc02g078285",5
"Solyc02g078700",5
"Solyc02g078780",2
"Solyc02g079050",5
"Solyc02g079550",6
"Solyc02g079640",6
"Solyc02g079710",6
"Solyc02g079760",4
"Solyc02g080050",5
"Solyc02g080120",4
"Solyc02g080200",5
"Solyc02g080240",5
"Solyc02g080640",1
"Solyc02g080880",1
"Solyc02g080890",1
"Solyc02g080900",1
"Solyc02g081060",5
"Solyc02g081080",2
"Solyc02g081200",2
"Solyc02g081890",5
"Solyc02g082315",5
"Solyc02g082545",5
"Solyc02g082840",5
"Solyc02g083220",5
"Solyc02g083740",5
"Solyc02g083860",3
"Solyc02g084400",5
"Solyc02g084800",5
"Solyc02g084910",5
"Solyc02g085620",5
"Solyc02g086460",1
"Solyc02g086467",1
"Solyc02g086840",6
"Solyc02g086860",1
"Solyc02g087070",5
"Solyc02g087540",5
"Solyc02g088425",5
"Solyc02g088630",5
"Solyc02g088820",2
"Solyc02g089040",3
"Solyc02g089050",3
"Solyc02g089340",5
"Solyc02g089520",5
"Solyc02g089515",5
"Solyc02g089630",5
"Solyc02g089660",4
"Solyc02g089670",5
"Solyc02g089770",5
"Solyc02g089790",5
